"ID","datetime_UTC","release_datetime_UTC","Healed.Scars","X_UTM","Y_UTM"
17007,"2017-08-15 00:04:38","2017-08-06 01:24:00",TRUE,518011.445079029,8036307.2533752
17007,"2017-08-15 01:04:38","2017-08-06 01:24:00",TRUE,517503.819058385,8030905.08143741
17007,"2017-08-15 02:04:38","2017-08-06 01:24:00",TRUE,511946.580198996,8027569.63657185
17007,"2017-08-15 03:04:38","2017-08-06 01:24:00",TRUE,508465.174776881,8021459.00789274
17007,"2017-08-15 04:04:38","2017-08-06 01:24:00",TRUE,506222.806750003,8016133.36464933
17007,"2017-08-15 05:04:38","2017-08-06 01:24:00",TRUE,506765.209663511,8009961.6187399
17007,"2017-08-15 06:04:38","2017-08-06 01:24:00",TRUE,509394.146541349,8006115.40150829
17007,"2017-08-15 07:04:38","2017-08-06 01:24:00",TRUE,513191.006067265,8001838.0247943
17007,"2017-08-15 08:04:38","2017-08-06 01:24:00",TRUE,516041.361465247,7997088.91848799
17007,"2017-08-15 09:04:38","2017-08-06 01:24:00",TRUE,514232.512839711,7992816.68716973
17007,"2017-08-15 10:04:38","2017-08-06 01:24:00",TRUE,511806.19537673,7993066.08028038
17007,"2017-08-15 11:04:38","2017-08-06 01:24:00",TRUE,511212.105256271,7993400.65526655
17007,"2017-08-15 12:04:38","2017-08-06 01:24:00",TRUE,510926.434428778,7994098.04657077
17007,"2017-08-15 13:04:38","2017-08-06 01:24:00",TRUE,511028.666170704,7993156.85356876
17007,"2017-08-15 14:04:38","2017-08-06 01:24:00",TRUE,512068.904851656,7993365.81418687
17007,"2017-08-15 15:04:38","2017-08-06 01:24:00",TRUE,515303.268023392,7994531.26341777
17007,"2017-08-15 16:04:38","2017-08-06 01:24:00",TRUE,517792.494104667,7996383.64460814
17007,"2017-08-15 17:04:38","2017-08-06 01:24:00",TRUE,519828.525659366,7998790.83028042
17007,"2017-08-15 18:04:38","2017-08-06 01:24:00",TRUE,520458.560493099,8003209.89179211
17007,"2017-08-16 00:00:36","2017-08-06 01:24:00",TRUE,511947.6278673,8021381.93188115
17007,"2017-08-16 01:00:36","2017-08-06 01:24:00",TRUE,513110.162461334,8023038.97909992
