"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg.mess","AICc_baseline","AICc_new","deltaAICc"
27,0.5,0.375669002372134,0.103856700881519,0.172113609091207,0.579224395653061,TRUE,1,1,1,0.990120121888902,1.00156471587007,0.998120502486403,0,67366.713095799,67368.7038654528,1.99076965384302
28,0.5,0.512161900550065,0.102400801952972,0.31146001673422,0.71286378436591,TRUE,1,1,1,1.03761680385302,0.907182402616391,0.970907603763219,0,67354.7239873285,67356.7114336029,1.9874462744192
29,0.5,0.524040924493744,0.10154532675501,0.325015741255572,0.723066107731915,TRUE,1,1,1,1.01119141845257,1.01709654667519,0.977582627641764,0,67353.2114459532,67355.0779714981,1.86652554485772
30,0.5,0.672584668533358,0.102037639127521,0.472594570775921,0.872574766290795,TRUE,1,1,1,1.04346209835574,0.969673167131909,0.99454210973281,0,67336.1051649796,67337.6008555239,1.49569054426684
31,0.5,0.507262301801641,0.10253042206455,0.306306367235431,0.70821823636785,TRUE,1,1,1,1.02042905972636,0.974517563641007,1.03115736291759,0,67355.1141651408,67357.0594808508,1.94531571009429
32,0.5,0.475135727132785,0.101848027631411,0.27551726107878,0.67475419318679,TRUE,1,1,1,1.01091146782303,0.972844856742304,1.0201114122732,0,67357.9872622529,67359.9725251541,1.98526290121663
33,0.5,0.449550845903989,0.102696472415899,0.248269458629515,0.650832233178463,TRUE,1,1,1,0.983044592134708,1.00896250669664,0.988639716767404,0,67360.6894074391,67362.6334240069,1.94401656772243
34,0.5,0.3650165704744,0.10802013214461,0.153301001865707,0.576732139083093,TRUE,1,1,1,1.00765213150752,1.02307752961497,1.06561652692598,0,67367.0607210969,67368.6128269056,1.552105808747
35,0.5,0.480094514872205,0.102389488110627,0.279414805779885,0.680774223964525,TRUE,1,1,1,0.977069643320127,1.00833181070772,1.02379938611094,0,67357.7005790498,67359.3752376368,1.6746585869987
36,0.5,0.529382434251389,0.103675543809399,0.326182102307361,0.732582766195416,TRUE,1,1,1,0.970834700485506,1.03459719775157,1.00927926776577,0,67353.0305750322,67352.377081529,-0.653493503195932
37,0.5,0.52503872727314,0.101810216451651,0.325494369769676,0.724583084776604,TRUE,1,1,1,0.958570871828459,1.06239200816844,0.981277424899593,0,67353.1680665476,67355.1681126197,2.00004607214942
38,0.5,0.28348046006968,0.101694197329551,0.0841634958670519,0.482797424272309,FALSE,1,1,1,1.02217403597243,0.971989467187072,0.982593751500833,0,67372.1356888718,67374.0694422419,1.93375337011821
39,0.5,0.664040962416892,0.102245752115559,0.463642970698186,0.864438954135598,TRUE,1,1,1,1.02506225370723,0.981875436352186,1.03781830946469,0,67337.6099925428,67339.4925997531,1.88260721032566
40,0.5,0.524020575810507,0.103382722835606,0.321394162429033,0.726646989191982,TRUE,1,1,1,0.986935243485064,1.02362012247867,0.970605965259325,0,67354.1564237103,67354.5146223574,0.358198647096287
41,0.5,0.548259530386338,0.100708761828401,0.350873984275051,0.745645076497625,TRUE,1,1,1,0.959175993689982,1.03054480087929,0.990260158060794,0,67350.1548410672,67351.5050582152,1.35021714800678
42,0.5,0.674784085300256,0.0989140960915682,0.480916019397448,0.868652151203064,TRUE,1,1,1,0.971707898175186,1.04885962256367,0.981513517871106,0,67333.1963593078,67334.8988184431,1.70245913525287
43,0.5,0.506408177622068,0.103455896409204,0.303638346671722,0.709178008572414,TRUE,1,1,1,1.00923795087397,1.00847125904875,0.973472478851198,0,67355.9270262553,67357.3498390394,1.42281278404698
44,0.5,0.376543027148956,0.114470857540691,0.152184269089787,0.600901785208126,TRUE,1,1,1,1.0075035408203,0.94094059074798,0.960417470157674,0,67365.5817065036,67366.304142717,0.722436213371111
45,0.5,0.604260581098176,0.101501247452074,0.405321791706222,0.80319937049013,TRUE,1,1,1,1.01786881987328,0.967413436062505,0.928965024972445,0,67344.4520277144,67346.3215725149,1.8695448005019
46,0.5,0.548257859591559,0.101213590770313,0.34988286693577,0.746632852247348,TRUE,1,1,1,1.02137550870823,0.989899288680337,1.04273642741512,0,67350.5107984159,67352.4222531657,1.91145474980294
47,0.5,0.687613425524576,0.100833812674917,0.489982784257881,0.885244066791271,TRUE,1,1,1,0.991372752469784,1.02996697233775,1.01782555711754,0,67333.1560602343,67335.0725231327,1.91646289845812
48,0.5,0.406343534361555,0.130530252023187,0.150508941503173,0.662178127219938,TRUE,1,1,1,0.976845688481485,1.02262533726765,1.01330503390017,0,67360.6964943789,67358.4049665712,-2.29152780774166
