"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_est_re","beta_cov_SE_re","beta_cov_95LCI_re","beta_cov_95UCI_re","beta_cov_in_95CI_re","beta_cov_proxy_est_re","beta_cov_proxy_SE_re","beta_cov_proxy_95LCI_re","beta_cov_proxy_95UCI_re","beta_cov_proxy_in_95CI_re","beta_cov_est_no_re","beta_cov_SE_no_re","beta_cov_95LCI_no_re","beta_cov_95UCI_no_re","beta_cov_in_95CI_no_re","beta_cov_proxy_est_no_re","beta_cov_proxy_SE_no_re","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_re","converg_mess_no_re","beta_cov_sim","beta_cov_proxy_sim","beta_sim_factor","proxy_factor","beta_cov_proxy_95LCI_no_re","beta_cov_proxy_95UCI_no_re"
32,10,15,25,32,0.559607611890799,0.196957907566282,0.173577206590518,0.945638017191081,NA,0.73551321007535,0.235200006855351,0.274529667475288,1.19649675267541,NA,0.55596207814571,0.174575978419446,0.213799447877753,0.898124708413666,NA,0.679612767067723,0.213923867575422,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.260329691186381,1.09889584294906
33,10,15,25,33,0.754095721790743,0.16448439145412,0.43171223852168,1.07647920505981,NA,0.821054413644916,0.196949533697074,0.435040420826694,1.20706840646314,NA,0.701406225549445,0.180117724265163,0.348381973012409,1.05443047808648,NA,0.508255557315498,0.176294690166245,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.162724313924011,0.853786800706985
34,10,15,25,34,0.551932136915611,0.177121698447406,0.204779987078131,0.89908428675309,NA,1.03921340891724,0.216105314095558,0.615654776422232,1.46277204141225,NA,0.531289748830709,0.141802872662176,0.253361225508524,0.809218272152893,NA,0.913960410448191,0.183337937508889,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.554624655930914,1.27329616496547
35,10,15,25,35,0.707744736149008,0.174774388736634,0.365193228805203,1.05029624349281,NA,1.14216339672457,0.217894273515048,0.715098468197554,1.56922832525158,NA,0.68568092898952,0.132137447902501,0.42669629009158,0.944665567887459,NA,0.960317093846565,0.176074481007281,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.615217452475712,1.30541673521742
36,10,15,25,36,0.522676923140886,0.174678387403294,0.180313574952894,0.865040271328877,NA,1.54059579955404,0.233756005960131,1.08244244670225,1.99874915240582,NA,0.213882130420181,0.179446414790658,-0.137826379724345,0.565590640564707,NA,0.973024166625493,0.199765902420714,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.58149019254175,1.36455814070924
37,10,15,25,37,0.356258690216289,0.160111505876276,0.0424459051883153,0.670071475244262,NA,1.14419084736475,0.19857713446235,0.754986815665379,1.53339487906413,NA,0.233639646765982,0.140532108014824,-0.0417982236145658,0.50907751714653,NA,0.948704561392345,0.170784475333892,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.613973140619349,1.28343598216534
38,10,15,25,38,0.533401506871444,0.179236774974148,0.182103883217004,0.884699130525883,NA,0.907609464399949,0.220526756342439,0.475384964341329,1.33983396445857,NA,0.445951454756009,0.178588539222815,0.095924349827673,0.795978559684346,NA,0.767861675260168,0.207120163747453,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.36191361384312,1.17380973667721
39,10,15,25,39,0.0805615513543034,0.180884089551155,-0.273964749542279,0.435087852250886,NA,1.32759174563825,0.220939102493736,0.894559061973929,1.76062442930258,NA,0.19606749921658,0.124233475919904,-0.0474256392606555,0.439560637693815,NA,1.08697805714917,0.168213579230143,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.757285500147516,1.41667061415083
40,10,15,25,40,0.416711718092091,0.174685379257494,0.0743346661216822,0.759088770062499,NA,1.16423304904342,0.221040289879691,0.731002041746935,1.59746405633991,NA,0.396461210792402,0.195421651905713,0.0134418112578816,0.779480610326922,NA,0.513140458109061,0.169007673190103,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.181891505545544,0.844389410672578
41,10,15,25,41,0.850268990857649,0.180692716215956,0.496117774805659,1.20442020690964,NA,0.98694023044517,0.219717994902525,0.556300873680865,1.41757958720947,NA,0.754508840064961,0.205087798907311,0.352544140538039,1.15647353959188,NA,0.568976948440135,0.195739249428731,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.185335069198921,0.952618827681349
42,10,15,25,42,0.45273633384224,0.158445492807641,0.142188874426564,0.763283793257916,NA,1.06925784579014,0.189591223151361,0.697665876628573,1.4408498149517,NA,0.408283196107739,0.122937182301754,0.167330746435467,0.649235645780011,NA,0.930869970650072,0.159732658291041,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.617799713244788,1.24394022805536
43,10,15,25,43,0.026204222381967,0.178329604252547,-0.323315379330306,0.37572382409424,NA,1.0893135113303,0.220566551907927,0.657011013396582,1.52161600926403,NA,-0.0509404353751754,0.155225027053161,-0.355175897898626,0.253295027148275,NA,0.944219387336567,0.193282206166855,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.565393224397085,1.32304555027605
44,10,15,25,44,0.0773006655543388,0.186852777274706,-0.288924048315369,0.443525379424047,NA,1.27298781171839,0.225885397083158,0.830260568801872,1.71571505463491,NA,0.0185740537876042,0.151384238175735,-0.27813360086387,0.315281708439079,NA,1.10563290342522,0.192772224349694,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.727806286480148,1.4834595203703
45,10,15,25,45,0.664019848186701,0.187162681497258,0.297187733202134,1.03085196317127,NA,0.792304210431094,0.227300299223628,0.346803810277605,1.23780461058458,NA,0.612534348444677,0.202591882715347,0.215461554762434,1.00960714212692,NA,0.553422268385568,0.207788285048318,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.146164713281521,0.960679823489614
46,10,15,25,46,0.404846059327774,0.189281165072926,0.0338617928330595,0.775830325822489,NA,1.3304891007742,0.240083508846445,0.859934070153162,1.80104413139523,NA,0.277326500702364,0.161174315479496,-0.038569352870345,0.593222354275073,NA,1.12937193121961,0.206555026464855,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.724531518522771,1.53421234391644
47,10,15,25,47,0.595449304129094,0.154557392955698,0.292522380391521,0.898376227866667,NA,0.824841410837475,0.189092402595247,0.454227112000643,1.19545570967431,NA,0.586467408569352,0.123273846262049,0.344855109660009,0.828079707478695,NA,0.70641071703797,0.157790567006913,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.397146888604267,1.01567454547167
48,10,15,25,48,0.558799034743822,0.175371804816009,0.215076613400657,0.902521456086987,NA,1.07315552842261,0.223148489130058,0.63579252652317,1.51051853032205,NA,0.42805441313353,0.191724890018263,0.052280533757832,0.803828292509227,NA,0.704924013091525,0.200577029863519,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.311800258433014,1.09804776775004
49,10,15,25,49,0.496313451822685,0.155230538362708,0.192067187331014,0.800559716314356,NA,1.00180029588028,0.191824125945547,0.625831917661137,1.37776867409943,NA,0.393765558040617,0.177387334255243,0.0460927715867719,0.741438344494462,NA,0.563264101301849,0.169082257523642,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.231868966130784,0.894659236472915
50,10,15,25,50,0.582422995947221,0.195243601991593,0.199752567831827,0.965093424062616,NA,1.39265708800936,0.243619510408284,0.915171621677842,1.87014255434088,NA,0.368489718202208,0.183284289073096,0.00925911268691076,0.727720323717505,NA,1.09794715427866,0.218179838659108,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.670322528354044,1.52557178020327
51,10,15,25,51,0.325314759595287,0.162180203788182,0.0074474011650848,0.643182118025489,NA,1.46424880280416,0.209946578805338,1.0527610696683,1.87573653594003,NA,0.0695441265921518,0.176475129908953,-0.276340772196424,0.415429025380728,NA,1.0032861243975,0.193502914938926,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.624027380213686,1.38254486858131
52,10,15,25,52,0.406060341056742,0.183927748356222,0.0455685785210014,0.766552103592482,NA,1.10521543939879,0.230503024704484,0.653437812650456,1.55699306614713,NA,0.293902027198826,0.201474802527981,-0.100981329548336,0.688785383945989,NA,0.789545992923517,0.214664166084796,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.368811958625991,1.21028002722104
53,10,15,25,53,0.690671945346295,0.183946576090481,0.330143281129495,1.05120060956309,NA,1.19329048924116,0.224080449025109,0.754100879512385,1.63248009896994,NA,0.489970638068111,0.18882195330426,0.119886410101258,0.860054866034964,NA,0.866011228068195,0.208235105311897,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.457877921339972,1.27414453479642
