"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","gamma_shape_est_new","gamma_scale_est_new","vonMises_kappa_est_new","deltaAICc"
348,10,10,10,48,0,-1,1,1,1,-0.0251518692925041,0.165985016220862,-0.35047652305869,0.300172784473681,TRUE,-0.0343275415408253,0.102831353565816,-0.235873291011329,0.167218207929679,TRUE,-0.969477235697137,0.125185334966105,-1.21483598362329,-0.724118487770988,TRUE,0.979546538386333,1.0304648814172,0.990023963644185,0,0,67358.6779750854,67321.0688970399,"0 -1","-1: 10, 0: 10, +1: 10",0.980310268835413,1.03129618008011,0.990818171402786,37.609078045527
349,10,10,10,49,0,-1,1,1,1,0.13453390687912,0.150575063667718,-0.160587794879433,0.429655608637673,TRUE,0.138201397387994,0.103992028405956,-0.0656192329669469,0.342022027742935,TRUE,-0.793765751197672,0.127722155926476,-1.04409657684137,-0.543434925553971,TRUE,1.01071184435732,0.990965352906693,1.0801656000547,0,0,67367.986171038,67340.269445121,"0 -1","-1: 10, 0: 10, +1: 10",1.01213491964494,0.988879584306661,1.08042262231439,27.7167259169801
350,10,10,10,50,0,-1,1,1,1,0.0171288478126248,0.174167802045068,-0.32423377146221,0.35849146708746,TRUE,0.026966172922134,0.102750015273023,-0.174420156423931,0.228352502268199,TRUE,-0.941961115195633,0.12810631875971,-1.19304488615667,-0.690877344234595,TRUE,0.969634147222424,1.0003178211719,0.939212387897845,0,0,67356.5484555354,67327.2815503971,"0 -1","-1: 10, 0: 10, +1: 10",0.96916271646855,1.00136800870895,0.939401503176525,29.2669051382982
351,10,10,10,51,0,-1,1,1,1,0.0459081767159395,0.197320792032458,-0.340833469068596,0.432649822500475,TRUE,0.0454063911944175,0.127206203374262,-0.203913186029213,0.294725968418048,TRUE,-0.999068612404386,0.15526150525083,-1.30337557088149,-0.694761653927282,TRUE,1.00157824508716,0.99134293062885,1.05123357913172,0,0,67339.2903140743,67315.5260026089,"0 -1","-1: 10, 0: 10, +1: 10",1.00218014723921,0.990663758903465,1.05206923676575,23.7643114653183
352,10,10,10,52,0,-1,1,1,1,0.0123679671210794,0.170073732298347,-0.320970422899987,0.345706357142146,TRUE,0.031337206891476,0.10807373388343,-0.180483419194813,0.243157832977764,TRUE,-0.886357020470879,0.133276844310025,-1.14757483529168,-0.625139205650079,TRUE,1.00164899639781,0.994590220587742,1.00994705413092,0,0,67358.8987147828,67332.8887196559,"0 -1","-1: 10, 0: 10, +1: 10",1.00209237551647,0.993969862699838,1.01007066062157,26.009995126893
353,10,10,10,53,0,-1,1,1,1,0.0517032088923348,0.178234170453905,-0.297629346011692,0.401035763796361,TRUE,0.0401889998286611,0.10363018702609,-0.162922434453626,0.243300434110948,TRUE,-0.95612484903306,0.127349731970555,-1.20572573713618,-0.706523960929943,TRUE,0.961332130335378,1.04942688827785,0.98683782389508,0,0,67352.6208238876,67322.4796004639,"0 -1","-1: 10, 0: 10, +1: 10",0.961370933279407,1.04974629223734,0.986973521529099,30.1412234237068
354,10,10,10,54,0,-1,1,1,1,0.1492193143245,0.179830674765066,-0.203242331530566,0.501680960179566,TRUE,0.17790872622698,0.104641419958319,-0.0271846881824554,0.383002140636415,TRUE,-1.00839621023172,0.128087193151259,-1.25944249568901,-0.757349924774426,TRUE,1.02640328728555,0.973265266909367,1.02779169671422,0,0,67350.9433087122,67317.0647145,"0 -1","-1: 10, 0: 10, +1: 10",1.02642198496905,0.973788226703449,1.02925442455206,33.878594212234
355,10,10,10,55,0,-1,1,1,1,0.018102683907165,0.170041690689662,-0.315172905714873,0.351378273529203,TRUE,0.00920486153117946,0.103156417968535,-0.192978002461309,0.211387725523668,TRUE,-1.0189250798859,0.125824053396905,-1.26553569293268,-0.772314466839123,TRUE,1.02943079171058,0.94779280011924,0.928053088349162,0,0,67357.7898716389,67315.7560103073,"0 -1","-1: 10, 0: 10, +1: 10",1.03033877822014,0.948002328056005,0.928623428815525,42.033861331598
356,10,10,10,56,0,-1,1,1,1,-0.188592299577532,0.184058699064923,-0.549340720786076,0.172156121631013,TRUE,-0.184111022218354,0.103006355189168,-0.385999768567864,0.0177777241311567,TRUE,-1.12581723627732,0.127040476680186,-1.37481199514928,-0.876822477405354,TRUE,0.986360347127685,0.984195264036859,1.05496793180673,0,0,67344.4760254366,67297.5032153735,"0 -1","-1: 10, 0: 10, +1: 10",0.986997009460667,0.986016374576773,1.0550770769066,46.9728100631619
357,10,10,10,57,0,-1,1,1,1,0.0751954419481847,0.159896154968011,-0.238195263055551,0.388586146951921,TRUE,0.0796413760934504,0.102350383053739,-0.120961688495756,0.280244440682657,TRUE,-0.872584134150647,0.125815039284908,-1.11917707986256,-0.625991188438736,TRUE,1.02756721331144,0.995482196359577,0.966855028885848,0,0,67362.1021815535,67332.7627079078,"0 -1","-1: 10, 0: 10, +1: 10",1.02727543190897,0.996930730186985,0.967065783705796,29.3394736457558
