"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","converg.mess","AICc_baseline","AICc_new","deltaAICc"
35,0.5,0.462962873160621,0.0308087987610796,0.402578737181962,0.523347009139279,TRUE,0,37982.4998594744,37984.4899657481,1.99010627374082
36,0.5,0.491568317543507,0.0326870932715928,0.427502791971883,0.55563384311513,TRUE,0,37977.5873494609,37979.5864702566,1.99912079577189
37,0.5,0.527933982288001,0.026664908504728,0.475671721967678,0.580196242608323,TRUE,0,37813.1062994056,37812.3141368643,-0.792162541212747
38,0.5,0.496979923951024,0.0313701719454657,0.435495516749083,0.558464331152966,TRUE,0,37916.2575385179,37918.2179613563,1.96042283843417
39,0.5,0.433518300497587,0.0354256189357488,0.36408536325348,0.502951237741695,TRUE,0,37911.6954231191,37913.3425027824,1.64707966324931
40,0.5,0.465439986983692,0.0278262369585849,0.410901564719588,0.519978409247796,TRUE,0,37930.5707423405,37930.1312396268,-0.439502713670663
41,0.5,0.452012904761072,0.0310452021326472,0.391165426688318,0.512860382833827,TRUE,0,38001.4084617863,38003.3729090366,1.96444725026231
42,0.5,0.572222676956861,0.0288134460745835,0.51574936038019,0.628695993533532,FALSE,0,37732.7511857972,37734.2281983514,1.47701255412539
43,0.5,0.518852076887115,0.0353595169783261,0.449548697098863,0.588155456675367,TRUE,0,37923.0478740834,37925.0445477832,1.99667369977396
44,0.5,0.4986106910992,0.0365195537076414,0.427033681100747,0.570187701097654,TRUE,0,37930.7238006109,37932.723375959,1.99957534804707
45,0.5,0.520830084579426,0.0300257398621631,0.461980715840418,0.579679453318435,TRUE,0,37895.685779381,37894.4065557256,-1.2792236554742
46,0.5,0.517581232929661,0.0339670101257258,0.451007116420731,0.584155349438591,TRUE,0,37905.6924356444,37906.2208318694,0.528396225010511
47,0.5,0.468038912193404,0.0283796707962157,0.412415779539718,0.52366204484709,TRUE,0,37936.11148433,37938.0491322118,1.93764788183762
48,0.5,0.540514673690868,0.028853040716835,0.483963753041404,0.597065594340332,TRUE,0,37855.3774306568,37854.8006311116,-0.576799545167887
49,0.5,0.505829749826861,0.026735584355711,0.453428967384034,0.558230532269687,TRUE,0,37821.8918616423,37823.8722299992,1.98036835699168
50,0.5,0.489612935816306,0.0323206090471223,0.426265706125547,0.552960165507065,TRUE,0,37948.5965790599,37950.5713855509,1.97480649094359
51,0.5,0.471854508841747,0.0258026030928908,0.421282336072299,0.522426681611195,TRUE,0,37880.5861436604,37882.5730936248,1.98694996437553
52,0.5,0.510829720271052,0.0346881675026131,0.442842161276237,0.578817279265866,TRUE,0,37898.1212899447,37899.8547467049,1.73345676021563
53,0.5,0.464746389097344,0.0291578027445593,0.407598145849685,0.521894632345004,TRUE,0,37958.8755228809,37960.7953718629,1.9198489820119
