"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","deltaAICc"
53,15,10,5,53,0.5,1,0.127602394455355,0.131210513478132,-0.129565486354792,0.384770275265502,NA,0.448113256071413,0.0346070951398988,0.38028459598766,0.515941916155165,NA,0.957512477565549,0.0408228594517269,0.877501143294224,1.03752381183687,NA,0,0,37758.5707054781,37657.6452125604,"0.5 1","-1: 15, 0: 10, +1: 5",100.925492917653
54,15,10,5,54,0.5,1,0.151624793745691,0.143354298530942,-0.129344468403959,0.43259405589534,NA,0.487443045356847,0.0408858692239303,0.40730821420133,0.567577876512365,NA,1.01204220702717,0.0500142045604989,0.914016167373175,1.11006824668117,NA,0,0,37698.0454463496,37618.1108342155,"0.5 1","-1: 15, 0: 10, +1: 5",79.9346121340641
55,15,10,5,55,0.5,1,0.146784849619321,0.151704006250141,-0.150549538941395,0.444119238180036,NA,0.505104893499694,0.0300831383996642,0.446143025694418,0.56406676130497,NA,1.09066973333825,0.036391730094028,1.01934325301885,1.16199621365765,NA,0,0,37459.4997463384,37355.0201560585,"0.5 1","-1: 15, 0: 10, +1: 5",104.479590279981
56,15,10,5,56,0.5,1,0.136170435712301,0.148381006651445,-0.154650993314329,0.42699186473893,NA,0.497658955809475,0.0382816758981583,0.422628249781249,0.5726896618377,NA,1.07523405361,0.0462566764867536,0.984572633651446,1.16589547356856,NA,0,0,37671.4980233636,37580.1629634004,"0.5 1","-1: 15, 0: 10, +1: 5",91.3350599631594
57,15,10,5,57,0.5,1,0.16073841749384,0.140457927461135,-0.114554061673123,0.436030896660803,NA,0.502652213404627,0.0250394439009554,0.453575805165843,0.55172862164341,NA,1.02106807325016,0.0304190196730925,0.961447890245884,1.08068825625444,NA,0,0,37094.1737530454,36979.4050797016,"0.5 1","-1: 15, 0: 10, +1: 5",114.76867334378
58,15,10,5,58,0.5,1,0.215683272478187,0.144647670569952,-0.0678209522865322,0.499187497242907,NA,0.552635642311108,0.0258441916781936,0.501981957412298,0.603289327209917,NA,1.03363164472492,0.0348537873313136,0.965319476830728,1.10194381261911,NA,0,0,36953.4936863139,36851.4494072837,"0.5 1","-1: 15, 0: 10, +1: 5",102.044279030219
59,15,10,5,59,0.5,1,0.168203795919952,0.137981639712915,-0.102235248445144,0.438642840285047,NA,0.500281372877429,0.0246698525584491,0.451929350358956,0.548633395395903,NA,0.999783809299763,0.0311979825498527,0.938636887111743,1.06093073148778,NA,0,0,37132.0049375997,37018.5795028354,"0.5 1","-1: 15, 0: 10, +1: 5",113.425434764315
60,15,10,5,60,0.5,1,0.143348328756293,0.136365186520677,-0.123922525569321,0.410619183081908,NA,0.469727538450211,0.0271348337339961,0.416544241605096,0.522910835295326,NA,0.978741406598636,0.0346440422362986,0.910840331536607,1.04664248166067,NA,0,0,37395.7804171725,37292.2720020378,"0.5 1","-1: 15, 0: 10, +1: 5",103.508415134755
61,15,10,5,61,0.5,1,0.182972800131137,0.152595672894665,-0.116109222939061,0.482054823201336,NA,0.550506927932313,0.0374050937416039,0.477194291360425,0.623819564504202,NA,1.09958318840201,0.0450800699824435,1.01122787481587,1.18793850198814,NA,0,0,37658.7545433968,37558.2749105347,"0.5 1","-1: 15, 0: 10, +1: 5",100.479632862123
62,15,10,5,62,0.5,1,0.204394719948461,0.137198483407436,-0.0645093662636304,0.473298806160553,NA,0.532404242699555,0.0332846815948932,0.467167465536681,0.597641019862429,NA,0.981964528546994,0.0401886863712237,0.90319615067342,1.06073290642057,NA,0,0,37608.281676533,37513.9624697189,"0.5 1","-1: 15, 0: 10, +1: 5",94.3192068141216
63,15,10,5,63,0.5,1,0.137894144008589,0.137927896311855,-0.132439565226023,0.4082278532432,NA,0.470209786041139,0.0341770516314044,0.403223995745821,0.537195576336458,NA,0.992262679532322,0.0418497108076738,0.910238753585864,1.07428660547878,NA,0,0,37709.6385190598,37615.1212448987,"0.5 1","-1: 15, 0: 10, +1: 5",94.5172741610731
64,15,10,5,64,0.5,1,0.177674190091556,0.137356051181361,-0.0915387232825522,0.446887103465664,NA,0.50932857202447,0.0363403655653959,0.438102764331274,0.580554379717665,NA,0.988797804979795,0.0443286537543242,0.901915240138173,1.07568036982142,NA,0,0,37781.949679006,37690.1252247731,"0.5 1","-1: 15, 0: 10, +1: 5",91.8244542328466
65,15,10,5,65,0.5,1,0.188809721099672,0.139558279090987,-0.0847194796630513,0.462338921862395,NA,0.519266942602131,0.0243402855028098,0.471560859643202,0.566973025561061,NA,0.999582151811059,0.0315644863092631,0.937716895454396,1.06144740816772,NA,0,0,37042.597819116,36942.1274177282,"0.5 1","-1: 15, 0: 10, +1: 5",100.470401387844
66,15,10,5,66,0.5,1,0.17837940380677,0.126406526483903,-0.0693728355124887,0.426131643126029,NA,0.490241963425331,0.0277133004390871,0.435924892671982,0.54455903417868,NA,0.921747169788037,0.0344691999412068,0.854188779327361,0.989305560248712,NA,0,0,37431.3450841526,37320.8769381147,"0.5 1","-1: 15, 0: 10, +1: 5",110.4681460379
67,15,10,5,67,0.5,1,0.218857357304899,0.149522182724975,-0.0742007357258685,0.511915450335666,NA,0.578316274034637,0.0406382753234231,0.498666718006905,0.657965830062369,NA,1.0651008394208,0.0512300855936873,0.964691716732264,1.16550996210933,NA,0,0,37456.3092915588,37373.5960320312,"0.5 1","-1: 15, 0: 10, +1: 5",82.713259527598
68,15,10,5,68,0.5,1,0.156629606149437,0.142407106926604,-0.122483194569251,0.435742406868126,NA,0.497090510508164,0.0279397334206609,0.442329639266019,0.55185138175031,NA,1.02428393444614,0.0353903310369588,0.954920160212753,1.09364770867953,NA,0,0,37356.0891923496,37255.9224215432,"0.5 1","-1: 15, 0: 10, +1: 5",100.166770806427
69,15,10,5,69,0.5,1,0.150247815662859,0.134994313139073,-0.114336176207446,0.414831807533165,NA,0.480301061560363,0.0351614721275466,0.411385842546963,0.549216280573763,NA,0.986898747836455,0.0416801630009086,0.905207129484915,1.06859036618799,NA,0,0,37760.83374937,37654.1110573315,"0.5 1","-1: 15, 0: 10, +1: 5",106.722692038507
70,15,10,5,70,0.5,1,0.197210237115379,0.141840047466358,-0.0807911474841329,0.475211621714892,NA,0.531691534800727,0.0338315228159757,0.465382968539269,0.598000101062184,NA,1.00914112675723,0.041796355871431,0.92722177456421,1.09106047895026,NA,0,0,37573.4190865307,37485.9892406031,"0.5 1","-1: 15, 0: 10, +1: 5",87.4298459275888
